*** start
START 
OF 
THE project
provision provision
by 
any ani
charge charge
on 
the 
estate, estate
or or
by 
any ani
sale sale
of 
its 
valuable valuable
woods. wood
The 
whole whole
was 
tied tie
up up
for 
the 
benefit benefit
of 
this this
child, child
who, who
in 
occasional occasional
visits visit
with 
his his
father father
and 
mother mother
at 
Norland, norland
had had
so so
far far
gained gain
on 
the 
affections affection
of 
his his
uncle, uncle
by 
such such
attractions attraction
as 
are 
by 
no no
means mean
unusual unusual
in 
children children
of 
two two
or or
three three
years year
old; old
an 
imperfect imperfect
articulation, articulation
an 
earnest earnest
desire desire
of 
having have
his his
own own
way, way
many mani
cunning cun
tricks, trick
and 
a 
great great
deal deal
of 
noise, noise
as 
to 
outweigh outweigh
all all
the 
value value
of 
all all
the 
attention attention
which, which
for 
years, year
he 
had had
received receiv
from 
his his
niece niece
and 
her her
daughters. daughter
He 
meant meant
not not
to 
be 
unkind, unkind
however, however
and, 
as 
a 
mark mark
of 
his his
affection affection
for 
the 
three three
girls, girl
he 
left left
them them
a 
thousand thousand
pounds pound
a-piece. 
Mr. piece
Dashwood's apiece
disappointment mr
was, dashwood
at disappointment
first, 
severe; 
but first
his severe
temper but
was his
cheerful temper
and 
sanguine; cheerful
and 
he sanguine
might 
reasonably 
hope might
to reasonabli
live hope
many 
years, live
and mani
by year
living 
economically, 
lay live
by economicalli
a lay
considerable 
sum 
from considerable
the sum
produce 
of 
an produce
estate 
already 
large, estate
and alreadi
capable large
of 
almost capable
immediate 
improvement. almost
But immediate
the improvement
fortune, but
which 
had fortune
been which
so had
tardy been
in so
coming, tardi
was 
his come
only 
one his
twelvemonth. onli
He one
survived twelvemonth
his 
uncle surviv
no his
longer; uncle
and no
ten longer
thousand 
pounds, ten
including thousand
the pound
late includ
legacies, 
was late
all legaci
that 
remained all
for 
his remain
widow 
and his
daughters. widow
His 
son daughter
was his
sent son
for 
as sent
soon 
as 
his soon
danger 
was his
known, danger
and 
to known
him 
Mr. 
Dashwood him
recommended, mr
with dashwood
all recommend
the 
strength all
and 
urgency strength
which 
illness urgenci
could which
command, illness
the could
interest command
of 
his interest
mother-in-law 
and his
sisters. mother
Mr. 
John law
Dashwood motherinlaw
had 
not sister
the mr
strong john
feelings dashwood
of had
the not
rest 
of strong
the feeling
family; 
but 
he rest
was 
affected 
by famili
a but
recommendation 
of 
such affect
a 
nature 
at recommendation
such 
a such
time, 
and nature
he 
promised such
to 
do time
every 
thing 
in promis
his 
power do
to everi
make thing
them 
comfortable. his
His power
father 
was make
rendered them
easy comfortable
by his
such father
an 
assurance, render
and easi
Mr. 
John such
Dashwood 
had assurance
then 
leisure mr
to john
consider dashwood
how had
much then
there leisure
might 
prudently consider
be how
in much
his there
power might
to prudentli
do 
for 
them. his
He power
was 
not do
an 
ill-disposed them
young 
man, 
unless not
to 
be ill
rather dispos
cold illdispos
hearted young
and man
rather unless
selfish 
is 
to rather
be cold
ill-disposed: heart
but 
he rather
was, selfish
in 
general, 
well 
respected; ill
for dispos
he illdispos
conducted but
himself 
with 
propriety 
in general
the well
discharge respect
of 
his 
ordinary conduct
duties. himself
Had 
he proprieti
married 
a 
more discharge
amiable 
woman, his
he ordinari
might duti
have had
been 
made marri
still 
more more
respectable amiable
than woman
he 
was: might
- have
he been
might made
even still
have more
been respectable
made than
amiable 
himself; 
for 
he 
was might
very even
young have
when been
he made
married, amiable
and himself
very 
fond 
of 
his veri
wife. young
But when
Mrs. 
John marri
Dashwood 
was veri
a fond
strong 
caricature his
of wife
himself; but
- mrs
more john
narrow-minded dashwood
and 
selfish. 
When strong
he caricature
gave 
his himself
promise 
to more
his narrow
father, mind
he narrowmind
meditated 
within selfish
himself when
to 
increase gave
the his
fortunes promise
of 
his his
sisters father
by 
the meditate
present within
of himself
a 
thousand increase
pounds 
a-piece. fortune
He 
then his
really sister
thought 
himself 
equal present
to 
it. 
The thousand
prospect pound
of 
four piece
thousand apiece
a-year, 
in then
addition realli
to thought
his himself
present equal
income, 
besides 
the 
remaining prospect
half 
of four
his thousand
own 
mother's year
fortune, ayear
warmed 
his addition
heart, 
and his
made present
him income
feel beside
capable 
of remain
generosity. half
"Yes, 
he his
would own
give mother
them fortune
three warm
thousand his
pounds: heart
it 
would made
be him
liberal feel
and capable
handsome! 
It generositi
would ye
be 
enough would
to give
make them
them three
completely thousand
easy. pound
Three 
thousand would
pounds! 
he liberal
could 
spare handsome
so 
considerable would
a 
sum enough
with 
little make
inconvenience." them
He completeli
thought easi
of three
it thousand
all pound
day 
long, could
and spare
for so
many considerable
days 
successively, sum
and 
he little
did inconvenience
not 
repent. thought
No 
sooner 
was all
his day
father's long
funeral 
over, 
than mani
Mrs. day
John successiveli
Dashwood, 
without 
sending did
any not
notice repent
of no
her sooner
intention 
to his
her father
mother-in-law, funeral
arrived over
with than
her mrs
child john
and dashwood
their without
attendants. send
No ani
one notice
could 
dispute her
her intention
right 
to her
come; mother
the 
house law
was motherinlaw
her arriv
husband's 
from her
the child
moment 
of their
his attendant
father's no
decease; one
but could
the dispute
indelicacy her
of right
her 
conduct come
was 
so house
much 
the her
greater, husband
and 
to 
a moment
woman 
in his
Mrs. father
Dashwood's decease
situation, but
with 
only indelicaci
common 
feelings, her
must conduct
have 
been so
highly much
unpleasing; 
- greater
but 
in 
_her_ 
mind woman
there 
was mrs
a dashwood
sense situation
of 
honor onli
so common
keen, feeling
a must
generosity have
so been
romantic, highli
that unpleas
any 
offence but
of 
the _her_
kind, mind
by there
whomsoever 
given 
or sense
received, 
was honor
to so
her keen
a 
source generositi
of so
immovable romantic
disgust. 
Mrs. ani
John offence
Dashwood 
had 
never kind
been 
a whomsoever
favourite given
with or
any receiv
of 
her 
husband's her
family; 
but source
she 
had immovable
had disgust
no mrs
opportunity, john
till dashwood
the had
present, never
of been
showing 
them favourite
with 
how ani
little 
attention her
to husband
the famili
comfort but
of she
other had
people had
she no
could opportuniti
act till
when 
occasion present
required 
it. show
So them
acutely 
did how
Mrs. little
Dashwood attention
feel 
this 
ungracious comfort
behaviour, 
and other
so people
earnestly she
did could
she act
despise when
her occasion
daughter-in-law requir
for 
it, so
that, acuteli
on did
the mrs
arrival dashwood
of feel
the this
latter, ungracious
she behaviour
would 
have so
quitted earnestli
the did
house she
for despise
ever, her
had daughter
not 
the law
entreaty daughterinlaw
of 
her 
eldest 
girl 
induced 
her arrival
first 
to 
reflect latter
on she
the would
propriety have
of quit
going, 
and house
her 
own ever
tender had
love not
for 
all entreati
her 
three her
children eldest
determined girl
her induc
afterwards her
to first
stay, 
and reflect
for 
their 
sakes proprieti
avoid 
a go
breach 
with her
their own
brother. tender
Elinor, love
this 
eldest all
daughter, her
whose three
advice children
was determin
so her
effectual, afterward
possessed 
a stay
strength 
of 
understanding, their
and sake
coolness avoid
of 
judgment, breach
which 
qualified their
her, brother
though elinor
only this
nineteen, eldest
to daughter
be whose
the advice
counsellor 
of so
her effectual
mother, possess
and 
enabled strength
her 
frequently understand
to 
counteract, coolness
to 
the judgment
advantage which
of qualifi
them her
all, though
that onli
eagerness nineteen
of 
mind 
in 
Mrs. counsellor
Dashwood 
which her
must mother
generally 
have enable
led her
to frequentli
imprudence. 
She counteract
had 
an 
excellent advantage
heart; 
- them
her all
disposition 
was eagerness
affectionate, 
and mind
her 
feelings mrs
were dashwood
strong; which
but must
she generalli
knew have
how lede
to 
govern imprudence
them: she
it had
was 
a excellent
knowledge heart
which 
her her
mother disposition
had 
yet affectionate
to 
learn; her
and feeling
which 
one strong
of but
her she
sisters knew
had how
resolved 
never govern
to them
be 
taught. 
Marianne's 
abilities knowledge
were, which
in her
many mother
respects, had
quite yet
equal 
to learn
Elinor's. 
She which
was one
sensible 
and her
clever; sister
but had
eager resolv
in never
everything: 
her 
sorrows, taught
her marianne
joys, abiliti
could 
have 
no mani
moderation. respect
She quite
was equal
generous, 
amiable, elinor
interesting: she
she 
was sensible
everything 
but clever
prudent. but
The eager
resemblance 
between everyth
her her
and sorrow
her her
mother joy
was could
strikingly have
great. no
Elinor moderation
saw, she
with 
concern, generous
the amiable
excess interest
of she
her 
sister's everyth
sensibility; but
but prudent
by 
Mrs. resemblance
Dashwood between
it her
was 
valued her
and mother
cherished. 
They striki
encouraged great
each elinor
other saw
now 
in concern
the 
violence excess
of 
their her
affliction. sister
The sensibiliti
agony but
of 
grief mrs
which dashwood
overpowered 
them 
at valu
first, 
was cherish
voluntarily they
renewed, encourag
was each
sought other
for, now
was 
created 
again violence
and 
again. their
They affliction
gave 
themselves agoni
up 
wholly grief
to which
their overpower
sorrow, them
seeking 
increase first
of 
wretchedness voluntarili
in renew
every 
reflection sought
that 
could 
afford create
it, again
and 
resolved again
against they
ever gave
admitting themselve
consolation up
in wholli
future. 
Elinor, their
too, sorrow
was seek
deeply increase
afflicted; 
but wretchedness
still 
she everi
could reflection
struggle, 
she could
could afford
exert 
herself. 
She resolv
could against
consult ever
with admit
her consolation
brother, 
could future
receive elinor
her too
sister-in-law 
on deepli
her afflict
arrival, but
and still
treat she
her could
with struggle
proper she
attention; could
and exert
could herself
strive she
to could
rouse consult
her 
mother her
to brother
similar could
exertion, receive
and her
encourage sister
her 
to law
similar sisterinlaw
forbearance. 
Margaret, her
the arrival
other 
sister, treat
was her
a 
good-humored, proper
well-disposed attention
girl; 
but could
as strive
she 
had rouse
already her
imbibed mother
a 
good similar
deal exertion
of 
Marianne's encourage
romance, her
without 
having similar
much forbearance
of margaret
her 
sense, other
she sister
did 
not, 
at good
thirteen, humor
bid goodhumor
fair well
to dispos
equal welldispos
her girl
sisters but
at 
a she
more had
advanced alreadi
period imbib
of 
life. good
CHAPTER deal
II. 
Mrs. marianne
John romance
Dashwood without
now have
installed much
herself 
mistress her
of sense
Norland; she
and did
her not
mother 
and thirteen
sisters-in-law bid
were fair
degraded 
to equal
the her
condition sister
of 
visitors. 
As more
such, advanc
however, period
they 
were life
treated chapter
by ii
her mrs
with john
quiet dashwood
civility; now
and install
by herself
her mistress
husband 
with norland
as 
much her
kindness mother
as 
he sister
could 
feel law
towards sistersinlaw
anybody 
beyond degrad
himself, 
his 
wife, condition
and 
their visitor
child. 
He such
really however
pressed they
them, 
with treate
some 
earnestness, her
to 
consider quiet
Norland civiliti
as 
their 
home; her
and, husband
as 
no 
plan much
appeared kindness
so 
eligible 
to could
Mrs. feel
Dashwood toward
as anybodi
remaining beyond
there himself
till his
she wife
could 
accommodate their
herself child
with 
a realli
house press
in them
the 
neighbourhood, some
his earnestness
invitation 
was consider
accepted. norland
A 
continuance their
in home
a 
place 
where no
everything plan
reminded appear
her so
of eligible
former 
delight, mrs
was dashwood
exactly 
what remain
suited there
her till
mind. she
In could
seasons accommodate
of herself
cheerfulness, 
no 
temper house
could 
be 
more neighbourhood
cheerful his
than invitation
hers, 
or accept
possess, 
in continuance
a 
greater 
degree, place
that where
sanguine everyth
expectation remind
of her
happiness 
which former
is delight
happiness 
itself. exactli
But what
in suit
sorrow her
she mind
must 
be season
equally 
carried cheerfulness
away no
by temper
her could
fancy, 
and more
as cheerful
far than
beyond her
consolation or
as possess
in 
pleasure 
she greater
was degree
beyond 
alloy. sanguine
Mrs. expectation
John 
Dashwood happiness
did which
not 
at happiness
all itself
approve but
of 
what sorrow
her she
husband must
intended 
to equalli
do carri
for away
his 
sisters. her
To fanci
take 
three 
thousand far
pounds beyond
from consolation
the 
fortune 
of pleasure
their she
dear 
little beyond
boy alloy
would mrs
be john
impoverishing dashwood
him did
to not
the 
most all
dreadful approve
degree. 
She what
begged her
him husband
to intend
think 
again do
on 
the his
subject. sister
How 
could take
he three
answer thousand
it pound
to 
himself 
to fortune
rob 
his their
child, dear
and little
his boy
only would
child 
too, impoverish
of him
so 
large 
a most
sum? dreadful
And degree
what she
possible beg
claim him
could 
the think
Miss again
Dashwoods, 
who 
were subject
related how
to could
him 
only answer
by 
half 
blood, himself
which 
she rob
considered his
as child
no 
relationship his
at onli
all, child
have too
on 
his so
generosity large
to 
so sum
large 
an what
amount. possible
It claim
was could
very 
well miss
known dashwood
that who
no 
affection relate
was 
ever him
supposed onli
to 
exist half
between blood
the which
children she
of consider
any 
man no
by relationship
different 
marriages; all
and have
why 
was his
he generositi
to 
ruin so
himself, large
and 
their amount
poor 
little 
Harry, veri
by well
giving known
away 
all no
his affection
money 
to ever
his suppos
half 
sisters? exist
"It between
was 
my children
father's 
last ani
request man
to 
me," different
replied marriage
her 
husband, whi
"that 
I 
should 
assist ruin
his himself
widow 
and their
daughters." poor
"He little
did harri
not 
know give
what away
he all
was his
talking money
of, 
I his
dare half
say; sister
ten 
to 
one my
but father
he last
was request
light-headed 
at me
the repli
time. her
Had husband
he 
been i
in should
his assist
right his
senses, widow
he 
could daughter
not 
have did
thought not
of know
such what
a 
thing 
as talk
begging 
you i
to dare
give say
away ten
half 
your one
fortune but
from 
your 
own light
child." head
"He lighthead
did 
not 
stipulate time
for had
any 
particular been
sum, 
my his
dear right
Fanny; sense
he 
only could
requested not
me, have
in thought
general 
terms, such
to 
assist thing
them, 
and beg
make you
their 
situation give
more away
comfortable half
than your
it fortune
was 
in your
his own
power child
to 
do. did
Perhaps not
it stipulate
would 
have ani
been particular
as sum
well my
if dear
he fanni
had 
left onli
it request
wholly me
to 
myself. general
He term
could 
hardly assist
suppose them
I 
should make
neglect their
them. situation
But more
as comfortable
he than
required 
the 
promise, 
I his
could power
not 
do do
less perhap
than 
give would
it; have
at been
least 
I well
thought if
so 
at had
the left
time. 
The wholli
promise, 
therefore, myself
was 
given, could
and hardli
must suppose
be i
performed. should
Something neglect
must them
be but
done 
for 
them requir
whenever 
they promise
leave i
Norland could
and not
settle do
in less
a than
new give
home." 
"Well, 
then, least
_let_ i
something thought
be so
done 
for 
them; time
but 
_that_ promise
something therefore
need 
not given
be 
three must
thousand 
pounds. perform
Consider," someth
she must
added, 
"that done
when 
the them
money whenever
is they
once leave
parted norland
with, 
it settle
never 
can 
return. new
Your home
sisters well
will then
marry, _let_
and someth
it 
will done
be 
gone them
for but
ever. _that_
If, someth
indeed, need
it not
could 
be three
restored thousand
to pound
our consider
poor she
little ad
boy 
- when
" 
"Why, money
to 
be once
sure," part
said 
her 
husband, never
very can
gravely, return
"that your
would sister
make will
great marri
difference. 
The 
time will
may 
come gone
when 
Harry ever
will if
regret indee
that 
so could
large 
a restor
sum 
was our
parted poor
with. little
If boy
he 
should whi
have 
a 
numerous sure
family, said
for her
instance, husband
it veri
would graveli
be 
a would
very make
convenient great
addition." difference
"To 
be time
sure may
it come
would." when
"Perhaps, harri
then, will
it regret
would 
be so
better large
for 
all sum
parties, 
if part
the 
sum if
were 
diminished should
one have
half. 
- numerous
Five famili
hundred 
pounds instance
would 
be would
a 
prodigious 
increase veri
to convenient
their addition
fortunes!" 
"Oh! 
beyond sure
anything 
great! would
What perhap
brother then
on 
earth would
would 
do better
half 
so all
much parti
for if
his 
sisters, sum
even 
if diminish
_really_ one
his half
sisters! 
And five
as hundr
it pound
is would
- 
only 
half prodigious
blood! increase
- 
But their
you fortune
have oh
such beyond
a anyth
generous great
spirit!" what
"I brother
would 
not earth
wish would
to do
do half
any so
thing much
mean," 
he his
replied. sister
"One even
had if
rather, _really_
on his
such sister
occasions, 
do 
too 
much 
than 
too onli
little. half
No blood
one, 
at but
least, you
can have
think such
I 
have generous
not spirit
done i
enough would
for not
them: wish
even 
themselves, do
they ani
can thing
hardly mean
expect 
more." repli
"There one
is had
no rather
knowing 
what such
_they_ occasion
may do
expect," too
said much
the than
lady, too
"but little
we no
are one
not 
to least
think can
of think
their i
expectations: have
the not
question done
is, enough
what 
you them
can even
afford themselve
to they
do." can
"Certainly hardli
- expect
and more
I there
think 
I no
may know
afford what
to _they_
give may
them expect
five said
hundred 
pounds ladi
a-piece. but
As we
it 
is, not
without 
any think
addition 
of their
mine, expectation
they 
will question
each 
have what
about you
three can
thousand afford
pounds 
on do
their certainli
mother's 
death 
- i
a think
very i
comfortable may
fortune afford
for 
any give
young them
woman." five
"To hundr
be pound
sure 
it piece
is; apiece
and, 
indeed, 
it 
strikes without
me ani
that addition
they 
can mine
want they
no will
addition each
at have
all. about
They three
will thousand
have pound
ten 
thousand their
pounds mother
divided death
amongst 
them. 
If veri
they comfortable
marry, fortune
they 
will ani
be young
sure woman
of 
doing 
well, sure
and 
if 
they 
do indee
not, 
they strike
may me
all 
live they
very can
comfortably want
together no
on addition
the 
interest all
of they
ten will
thousand have
pounds." ten
"That thousand
is pound
very divid
true, amongst
and, them
therefore, if
I they
do marri
not they
know will
whether, 
upon sure
the 
whole, do
it well
would 
not if
be they
more do
advisable not
to they
do may
something all
for live
their veri
mother comfortabli
while together
she 
lives, 
rather interest
than 
for ten
them thousand
- pound
something 
of 
the veri
annuity true
kind 
I therefore
mean. i
- do
My not
sisters know
would whether
feel upon
the 
good whole
effects 
of would
it not
as 
well more
as advisable
herself. 
A do
hundred someth
a 
year their
would mother
make while
them she
all live
perfectly rather
comfortable." than
His 
wife them
hesitated 
a someth
little, 
however, 
in annuiti
giving kind
her i
consent mean
to 
this my
plan. sister
"To would
be feel
sure," 
said good
she, effect
"it 
is 
better 
than well
parting 
with herself
fifteen 
hundred hundr
pounds 
at year
once. would
But, make
then, them
if all
Mrs. perfectli
Dashwood comfortable
should his
live wife
fifteen hesitate
years 
we little
shall however
be 
completely give
taken her
in." consent
"Fifteen 
years! this
my plan
dear 
Fanny; 
her sure
life said
cannot she
be 
worth 
half better
that than
purchase." part
"Certainly 
not; fifteen
but hundr
if pound
you 
observe, once
people but
always then
live if
for mrs
ever dashwood
when should
there live
is fifteen
an year
annuity we
to shall
be 
paid completeli
them; taken
and 
she fifteen
is year
very my
stout dear
and fanni
healthy, her
and life
hardly cannot
forty. 
An worth
annuity half
is 
a purchase
very certainli
serious not
business; but
it if
comes you
over observe
and people
over alway
every live
year, 
and ever
there when
is there
no 
getting 
rid annuiti
of 
it. 
You paid
are them
not 
aware she
of 
what veri
you stout
are 
doing. healthi
I 
have hardli
known forti
a 
great annuiti
deal 
of 
the veri
trouble serious
of business
annuities; 
for come
my over
mother 
was over
clogged everi
with year
the 
payment there
of 
three no
to get
old rid
superannuated 
servants 
by you
my 
father's not
will, aware
and 
it what
is you
amazing 
how do
disagreeable i
she have
found known
it. 
Twice great
every deal
year 
these 
annuities trouble
were 
to annuiti
be 
paid; my
and mother
then 
there clog
was 
the 
trouble payment
of 
getting three
it 
to old
them; superannuate
and servant
then 
one my
of father
them will
was 
said 
to 
have amaz
died, how
and disagreeable
afterwards she
it found
turned 
out twice
to everi
be year
no these
such annuiti
thing. 
My 
mother 
was paid
quite 
sick then
of there
it. 
Her 
income trouble
was 
not get
her 
own, 
she them
said, 
with then
such one
perpetual 
claims them
on 
it; said
and 
it have
was die
the 
more afterward
unkind 
in turn
my out
father, 
because, 
otherwise, no
the such
money thing
would my
have mother
been 
entirely quite
at sick
my 
mother's 
disposal, her
without income
any 
restriction not
whatever. her
It own
has she
given said
me 
such such
an perpetual
abhorrence claim
of 
annuities, 
that 
I 
am 
sure 
I more
would unkind
not 
pin my
myself father
down because
to otherwise
the 
payment money
of would
one have
for been
all entireli
the 
world." my
"It mother
is disposal
certainly without
an ani
unpleasant restriction
thing," whatever
replied 
Mr. 
Dashwood, given
"to me
have such
those 
kind abhorrence
of 
yearly annuiti
drains 
on i
one's am
income. sure
One's i
fortune, would
as not
your pin
mother myself
justly down
says, 
is 
_not_ payment
one's 
own. one
To 
be all
tied 
down world
to 
the 
regular certainli
payment 
of unpleasant
such thing
a repli
sum, mr
on dashwood
every 
rent have
day, those
is kind
by 
no yearli
means drain
desirable: 
it one
takes income
away one
one's fortune
independence." 
"Undoubtedly; your
and mother
after justli
all say
you 
have _not_
no one
thanks own
for 
it. 
They tie
think down
themselves 
secure, 
you regular
do payment
no 
more such
than 
what sum
is 
expected, everi
and rent
it day
raises 
no 
gratitude no
at mean
all. desirable
If 
I take
were away
you, one
whatever independence
I undoubt
did 
should after
be all
done you
at have
my no
own thank
discretion 
entirely. 
I they
would think
not themselve
bind secure
myself you
to do
allow no
them more
any than
thing what
yearly. 
It expect
may 
be 
very raise
inconvenient no
some gratitude
years 
to all
spare if
a i
hundred, 
or you
even whatever
fifty i
pounds did
from should
our 
own done
expenses." 
"I my
believe own
you discretion
are entireli
right, i
my would
love; not
it bind
will myself
be 
better allow
that them
there ani
should thing
be yearli
no 
annuity may
in 
the veri
case; inconvenient
whatever some
I year
may 
give spare
them 
occasionally hundr
will or
be even
of fifti
far pound
greater 
assistance our
than own
a expense
yearly i
allowance, believe
because you
they 
would right
only my
enlarge love
their 
style will
of 
living better
if 
they there
felt should
sure 
of no
a annuiti
larger 
income, 
and case
would whatever
not i
be may
sixpence give
the them
richer occasionalli
for will
it 
at 
the far
end greater
of assistance
the than
year. 
It yearli
will allowance
certainly because
be they
much would
the onli
best enlarge
way. their
A style
present 
of live
fifty if
pounds, they
now felt
and sure
then, 
will 
prevent larger
their income
ever 
being would
distressed not
for 
money, sixpence
and 
will, richer
I 
think, 
be 
amply 
discharging end
my 
promise 
to year
my 
father." will
"To certainli
be 
sure much
it 
will. best
Indeed, way
to 
say present
the 
truth, fifti
I pound
am now
convinced 
within then
myself will
that prevent
your their
father ever
had be
no distress
idea 
of money
your 
giving will
them i
any think
money 
at ampli
all. discharg
The my
assistance promise
he 
thought my
of, father
I 
dare 
say, sure
was 
only will
such indee
as 
might say
be 
reasonably truth
expected i
of am
you; convinc
for within
instance, myself
such 
as your
looking father
out had
for no
a idea
comfortable 
small your
house give
for them
them, ani
helping money
them 
to all
move 
their assistance
things, 
and thought
sending 
them i
presents dare
of say
fish 
and onli
game, such
and 
so might
forth, 
whenever reasonabli
they expect
are 
in you
season. 
I'll instance
lay such
my 
life look
that out
he 
meant 
nothing comfortable
farther; small
indeed, house
it 
would them
be help
very them
strange 
and move
unreasonable their
if thing
he 
did. send
Do them
but present
consider, 
my fish
